Indicators,Series Code,Country Name,Country Code,2010
"Population, total",SP.POP.TOTL,Brunei Darussalam,BRN,396053
"Population, total",SP.POP.TOTL,Bulgaria,BGR,7395599
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,16116845
"Population, total",SP.POP.TOTL,Burundi,BDI,9126605
"Population, total",SP.POP.TOTL,Cabo Verde,CPV,521212
"Population, total",SP.POP.TOTL,Cambodia,KHM,14363532
"Population, total",SP.POP.TOTL,Cameroon,CMR,19878036
"Population, total",SP.POP.TOTL,Canada,CAN,34004889
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,54074
"Population, total",SP.POP.TOTL,Central African Republic,CAF,4660067
"Population, total",SP.POP.TOTL,Chad,TCD,11894727
"Population, total",SP.POP.TOTL,Channel Islands,CHI,156933
"Population, total",SP.POP.TOTL,Chile,CHL,17004162
"Population, total",SP.POP.TOTL,China,CHN,1337705000
"Population, total",SP.POP.TOTL,Colombia,COL,44816108
"Population, total",SP.POP.TOTL,Comoros,COM,656024
"Population, total",SP.POP.TOTL,"Congo, Dem. Rep.",COD,66391257
"Population, total",SP.POP.TOTL,"Congo, Rep.",COG,4437884
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4622252
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,21120042
"Population, total",SP.POP.TOTL,Croatia,HRV,4295427
"Population, total",SP.POP.TOTL,Cuba,CUB,11290417
"Population, total",SP.POP.TOTL,Curacao,CUW,148703
"Population, total",SP.POP.TOTL,Cyprus,CYP,1129686
"Population, total",SP.POP.TOTL,Czechia,CZE,10474410
"Population, total",SP.POP.TOTL,Denmark,DNK,5547683
"Population, total",SP.POP.TOTL,Djibouti,DJI,919199
"Population, total",SP.POP.TOTL,Dominica,DMA,68755
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9775755
"Population, total",SP.POP.TOTL,Ecuador,ECU,14989585
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,87252413
"Population, total",SP.POP.TOTL,El Salvador,SLV,6114034
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1094524
"Population, total",SP.POP.TOTL,Eritrea,ERI,3147727
"Population, total",SP.POP.TOTL,Estonia,EST,1331475
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1099920
"Population, total",SP.POP.TOTL,Ethiopia,ETH,89237791
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48410
"Population, total",SP.POP.TOTL,Fiji,FJI,905169
"Population, total",SP.POP.TOTL,Finland,FIN,5363352
"Population, total",SP.POP.TOTL,France,FRA,65030575
"Population, total",SP.POP.TOTL,French Polynesia,PYF,283788
"Population, total",SP.POP.TOTL,Gabon,GAB,1711105
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1937275
"Population, total",SP.POP.TOTL,Georgia,GEO,3786695
"Population, total",SP.POP.TOTL,Germany,DEU,81776930
"Population, total",SP.POP.TOTL,Ghana,GHA,25574719
"Population, total",SP.POP.TOTL,Gibraltar,GIB,31262
"Population, total",SP.POP.TOTL,Greece,GRC,11121341
"Population, total",SP.POP.TOTL,Greenland,GRL,56905
"Population, total",SP.POP.TOTL,Grenada,GRD,114039
"Population, total",SP.POP.TOTL,Guam,GUM,164905
"Population, total",SP.POP.TOTL,Guatemala,GTM,14259687
"Population, total",SP.POP.TOTL,Guinea,GIN,10270728
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1567220
"Population, total",SP.POP.TOTL,Guyana,GUY,747932
"Population, total",SP.POP.TOTL,Haiti,HTI,9842880
"Population, total",SP.POP.TOTL,Honduras,HND,8450933
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7024200
"Population, total",SP.POP.TOTL,Hungary,HUN,10000023
"Population, total",SP.POP.TOTL,Iceland,ISL,318041
"Population, total",SP.POP.TOTL,India,IND,1240613620
"Population, total",SP.POP.TOTL,Indonesia,IDN,244016173
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,75373855
"Population, total",SP.POP.TOTL,Iraq,IRQ,31264875
"Population, total",SP.POP.TOTL,Ireland,IRL,4560155
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83828
"Population, total",SP.POP.TOTL,Israel,ISR,7623600
"Population, total",SP.POP.TOTL,Italy,ITA,59277417
"Population, total",SP.POP.TOTL,Jamaica,JAM,2733896
"Population, total",SP.POP.TOTL,Japan,JPN,128070000
"Population, total",SP.POP.TOTL,Jordan,JOR,6931258
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,16321872
"Population, total",SP.POP.TOTL,Kenya,KEN,41517895
"Population, total",SP.POP.TOTL,Kiribati,KIR,107995
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,24686435
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,49554112
"Population, total",SP.POP.TOTL,Kosovo,XKX,1775680
"Population, total",SP.POP.TOTL,Kuwait,KWT,2943356
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,5447900
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6323418
"Population, total",SP.POP.TOTL,Latvia,LVA,2097555
"Population, total",SP.POP.TOTL,Lebanon,LBN,4995800
"Population, total",SP.POP.TOTL,Lesotho,LSO,2022747
"Population, total",SP.POP.TOTL,Liberia,LBR,4019956
"Population, total",SP.POP.TOTL,Libya,LBY,6491988
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,35926
"Population, total",SP.POP.TOTL,Lithuania,LTU,3097282
"Population, total",SP.POP.TOTL,Luxembourg,LUX,506953
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,557297
"Population, total",SP.POP.TOTL,Madagascar,MDG,21731053
"Population, total",SP.POP.TOTL,Malawi,MWI,14718422
"Population, total",SP.POP.TOTL,Malaysia,MYS,28717731
"Population, total",SP.POP.TOTL,Maldives,MDV,361575
"Population, total",SP.POP.TOTL,Mali,MLI,15529181
"Population, total",SP.POP.TOTL,Malta,MLT,414508
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,53416
"Population, total",SP.POP.TOTL,Mauritania,MRT,3419461
"Population, total",SP.POP.TOTL,Mauritius,MUS,1250400
"Population, total",SP.POP.TOTL,Mexico,MEX,112532401
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,107588
"Population, total",SP.POP.TOTL,Moldova,MDA,2862354
"Population, total",SP.POP.TOTL,Monaco,MCO,33178
"Population, total",SP.POP.TOTL,Mongolia,MNG,2702520
"Population, total",SP.POP.TOTL,Montenegro,MNE,619428
"Population, total",SP.POP.TOTL,Morocco,MAR,32464865
"Population, total",SP.POP.TOTL,Mozambique,MOZ,23073723
"Population, total",SP.POP.TOTL,Myanmar,MMR,49390988
"Population, total",SP.POP.TOTL,Namibia,NAM,2099271
"Population, total",SP.POP.TOTL,Nauru,NRU,10241
"Population, total",SP.POP.TOTL,Nepal,NPL,27161567
"Population, total",SP.POP.TOTL,Netherlands,NLD,16615394
"Population, total",SP.POP.TOTL,New Caledonia,NCL,249750
"Population, total",SP.POP.TOTL,New Zealand,NZL,4350700
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5855734
"Population, total",SP.POP.TOTL,Niger,NER,16647543
"Population, total",SP.POP.TOTL,Nigeria,NGA,160952853
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2055004
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,54087
"Population, total",SP.POP.TOTL,Norway,NOR,4889252
"Population, total",SP.POP.TOTL,Oman,OMN,2881914
"Population, total",SP.POP.TOTL,Pakistan,PAK,194454498
"Population, total",SP.POP.TOTL,Palau,PLW,18540
"Population, total",SP.POP.TOTL,Panama,PAN,3623617
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,7583269
"Population, total",SP.POP.TOTL,Paraguay,PRY,5768613
"Population, total",SP.POP.TOTL,Peru,PER,29229572
"Population, total",SP.POP.TOTL,Philippines,PHL,94636700
"Population, total",SP.POP.TOTL,Poland,POL,38042794
"Population, total",SP.POP.TOTL,Portugal,PRT,10573100
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721525
"Population, total",SP.POP.TOTL,Qatar,QAT,1713504
"Population, total",SP.POP.TOTL,Romania,ROU,20246871
"Population, total",SP.POP.TOTL,Russian Federation,RUS,142849468
"Population, total",SP.POP.TOTL,Rwanda,RWA,10309031
"Population, total",SP.POP.TOTL,Samoa,WSM,194672
